,timestamp,header,text
149,2016-11-02 13:28:48,,"Bryan will be here shortly, in the meantime here?s Les Carpenter on what will be a historic night:




 

Late Tuesday had turned to early Wednesday, and if the Cleveland Indians? collapse hadn?t been indignity enough, their manager Terry Francona had become a prisoner in his own stadium.
He left a postgame interview in a room beneath the stands, and tried to walk back to the team?s clubhouse ? only to run into a mob of fans leaving Cleveland?s 9-3 Game 6 World Series loss to the Chicago Cubs. The crowd was filtered through two barriers set up in the corridor, forcing Francona and a team public relations man to stop as the fans pushed through. The opening between the barriers was controlled by a vigilant security guard, who appeared unconcerned that the home team?s manger was standing at the other end trying to get past.
Or maybe the guard did know, and she was just going to make Francona squirm, the way all of Cleveland is squirming the end of a World Series they could have won days ago.
?Wait!? the guard shouted, as a woman pushed by with a baby stroller followed by five people in Indians T-shirts.
?Can I get through now?? Francona asked politely, but with exasperation building in his voice.
?No! Wait,? the guard said, waving more fans past.


You can read the full article here:




Chicago Cubs and Cleveland Indians face a World Series Game 7 for the ages






 


Read more"
148,2016-11-02 13:46:05,Hello and welcome,"Game seven. It?s been said they?re the two greatest words in sports ? besides, perhaps, free beer or brunch burger ? a one-off crucible where the winners through the years have been minted as legends and the losers cruelly fitted with goat horns.
Tonight the Chicago Cubs and Cleveland Indians will face off in the seventh game of a World Series that?s deadlocked at three games apiece. The ultramarathon that is the Major League Baseball season ? more than 200 games when you include spring training, the 162-game regular season and the play-offs ? is reduced to a sprint.
All signs indicate tonight?s finale could be a classic, none more than the delicious starting pitching matchup between Indians? Corey Kluber and the Cubs? Kyle Hendricks, both Cy Young Award contenders for their respective leagues.
We?ll unpack that and much more with first pitch a little more than six hours away.





























  Anthony Rizzo goes deep in the ninth in Game 6. Photograph: David Richard/USA Today Sports"
147,2016-11-02 14:29:16,Tonight's starters,"Kluber and Hendricks are widely expected to finish high in the balloting for this year?s Cy Young Awards. That means tonight will likely mark only the third pitching matchup in a Game 7 of the World Series between starters to finish in the top five of Cy Young voting.
The others? The Diamondbacks? Curt Schilling against the Yankees? Roger Clemens in 2001 and the Royals? Bret Saberhagen against the Cardinals? John Tudor in 1985.
Both pitchers spoke with the media before last night?s Game 6. Here are some excerpts:
Corey Kluber





























  Corey Kluber starts for Cleveland tonight. Photograph: Jerry Lai/USA Today Sports


Given this has been your first postseason experience, how valuable do you think this month has been for you just in terms of overall development even moving forward?
Kluber: I think first and foremost it?s been a blast. I think that we?ve all really enjoyed ourselves. I think we can take a lot from the way we approached it, and not treating it more than just each game is another game and trying to go out and win that day. Not trying to look too far ahead or things like that. I think there?s value to taking that approach throughout the course of a season, too.
For years and years, the regular routine was to have starters pitch on three days? rest, and then in seven days it became four days. For you, what is the difference now that you?ve come back once on three days and might do it again tomorrow?
Kluber: I mean, I guess for me personally I spend a little more time doing the different methods of recovery and stuff like that that we have available to us.
But I still get in the same amount of work in between, it?s just a little bit more condensed. I haven?t, for me personally, I haven?t found much of a difference yet in the way I feel when I go out there on three days? rest as opposed to four. And I don?t know if that?s just doing the extra recovery stuff to where you get as close to normal as you can possibly get. But that?s really the only difference for me is spending more time trying to recover on those three days instead of having four days to do it.
All season long you knew when you were going to pitch, and tomorrow obviously you don?t know if you?re going to pitch. So what is your mental frame thinking about tomorrow as of right now?
Kluber: I mean, doing all my work in between the last start, and if it gets to tomorrow, that start. In doing all my work it was the same trying to get myself prepared. I?ll be rooting as hard as anybody for us to win tonight. But I think that my mindset was I?d rather be prepared and not have to pitch than try to will us to not get to a Game 7 and then not be ready when it comes.
Kyle Hendricks





























  Kyle Hendricks is on the mound for Chicago. Photograph: Tannen Maury/EPA


Kyle, knock on wood, there?s a Game 7 for you tomorrow, what would it mean? It?s the ultimate in baseball to pitch a Game 7.
Hendricks: Exactly, this is the ultimate dream. You dream of getting to the World Series, winning the World Series. When you?re out in your backyard as a kid, playing Little League at the field with your friends, this is the moment you dream about, Game 7, 3-2, two outs, something like that, bottom of the 9th. But it?s always Game 7 of the World Series.
So when we get there tomorrow, I?m just going to embrace the opportunity like I have the rest of this postseason, honestly. Approach it like any other game, simple thoughts, the same old thing.
You have a guy on your team who won a Game 7 in 2002 and won a Game 6 three years ago in John Lackey. Has he imparted any wisdom on you about how to handle tomorrow?
Hendricks: Not particularly in regards to tomorrow, but I?ve learned so much from John already. I think the way he approaches every single game, you know, I think that?s what prepares him for those big games and that?s what I?ve learned watching him, and I?ve tried to implement some of that into my routine, just taking that same ruthless approach, every day, every single start, even the regular season. So that when you get to these big moments, it?s basically like it has been the whole year, I think.
What?s your take on a team having a guy starting games 1, 4, and 7 and Kluber in particular?
Hendricks: You know, I don?t think there?s too many guys that could do it to start, so obviously he?s a special guy. But Kluber, you can just see it. The way he takes to the mound, he?s always locked in. He has a very, very good mental approach from what you can see from the outside, keeping things simple, just trying to execute pitches.
Like I said, there?s not many guys in this league that could do that. I think it speaks volumes to him as a pitcher and what he can do."
146,2016-11-02 14:41:11,,"On a beautiful Game 7 Wednesday, Cleveland emerged from the wreckage of Tuesday?s Game 6 debacle determined to believe that maybe, just maybe, their Indians can finally win that world championship that has eluded them for 68 years. People walked to their neighborhood groceries and banks wearing Indians T-shirts and caps, joking that the improbable 75F weather is ?Indian summer?. Needless to say, most of them are not talking about the election. Only one topic seems to be on most people?s minds. As heard from a group of lunching ladies at a sidewalk table in the Little Italy section of town:
?My friend said: ?I don?t think my liver can take anymore alcohol after that game last night.??
?If they win tonight, they?re going to have to have a holiday the next day because everyone is going to be up all night.?
Yup, they?ve gone baseball mad around here."
145,2016-11-02 14:51:35,,"There is no tomorrow when it?s Game 7 of the World Series. That means traditional adherence to the rules governing rest for starting pitchers and bullpen management are tossed out the window in favor of an all-hands-on-deck approach.
Case in point: Tom Verducci reports that Jake Arrieta, the winning pitcher in Game 2 and last night?s Game 6, told Cubs pitching coach Chris Bosio that he would be available to pitch in relief in tonight?s Game 7 if necessary. They have him down for 20 pitches. 


Herd w/Colin Cowherd 
(@TheHerd)
Tom Verducci: Arrieta went to the pitching coach last night and said I'm good for tomorrow. They have him down for 20 pitches. #WorldSeries pic.twitter.com/kpmsPyCTES

November 2, 2016


That would be some turnaround for Arrieta, last year?s Cy Young Award winner who scattered three hits and two runs over 5.2 innings (and threw 102 pitches) before Mike Montgomery, Aroldis Chapman, Pedro Strop and Travis Wood finished the job."
144,2016-11-02 15:11:57,,"Bill Murray news: As the Cubs are playing, we?re legally obliged to do a fun story about Bill Murray (and, in fairness, all stories about Bill Murray are fun. With the exception of Larger Than Life). Anyway, it turns out he decided to give his spare ticket to a random fan, Karen Michel, at last night?s game. ?He turns around and says, ?Here, here?s a ticket,?? Michel told MLB. ?And he kind of shuttled me into the door. I thought it was just a ticket to get in. But it was a ticket to sit right here [next to Murray].?



MLB 
(@MLB)
Best-dressed @Cubs fan: Bill Murray.https://t.co/Gakb3YrlAB #WorldSeries pic.twitter.com/SftDtm6En7

November 2, 2016"
143,2016-11-02 15:23:17,Weather report,"We?ve experienced some chilly World Series in years past ? not least the 1997 Marlins-Indians series, where in a memorable Game 4, snow fell throughout the game and temperatures hovered around the 38F mark ? but tonight?s decider should be unseasonably warm. A chance of rain remains, however.
We?re expecting temperatures in the upper 60s or lower 70s; the chance of rain increases from 19% at 8pm to about 50% by 11pm.
Brian Wimer, a senior meteorologist at AccuWeather, said in a statement: ?While a brief shower cannot be ruled out during Wednesday evening, if Game 7 runs late or goes into extra innings, then the chance of drenching rain will increase.?
Major League Baseball announced late on Tuesday night that it was moving up the start time by 8 minutes to 8pm."
142,2016-11-02 15:37:23,Jim Thome to throw first pitch,"Jim Thome, the Indians? franchise leader in home runs, will throw the first pitch at Progressive Field tonight. Former players from each team have thrown the first pitch prior to each game in the series.
Thome, one of three players with a statue out beyond center field, played for the Indians between 1991 and 2002, and again in 2011. He was there the last time the Indians advanced to the World Series, in 1997 ? only to fall short against the Marlins in Game 7. Thome never again reached the World Series.
?It?s what you live for,? said Thome, who grew up a Cubs fan in Peoria, Illinois. ?It?s what you dream of. As an ex-player, you feel it with them. You want this to happen so badly.?"
141,2016-11-02 15:42:54,,"If Chicago do win tonight and capture their first championship since 1908, they?ll have done it the hard way: only six teams in history have come back from a 3-1 deficit to win the World Series.
The comeback kids:
1985 Kansas City (AL) 4, St Louis (NL) 3
1979 Pittsburgh (NL) 4, Baltimore (AL) 3 
1968 Detroit (AL) 4, St Louis (NL) 3
1958 New York (AL) 4, Milwaukee (NL) 3
1925 Pittsburgh (NL) 4, Washington (AL) 3
1903 Boston (AL) 5, Pittsburgh (NL) 3"
140,2016-11-02 15:54:03,,"Just going back to the weather: the rain in Cleveland is expected hold off for the majority of the evening, but by 11pm there?s more than an even chance of showers. So if the game goes longer than three hours, we?re into risky territory.
As we mentioned before, MLB have brought the start time forward ? but only by eight minutes. We?ll begin at 8pm ET. Cross your fingers it stays fine."
