Inn,Score,atBat,Batter,Pitcher,wWPA,wWE,Play Description
Top 1,0-0,CHC,Dexter Fowler,Corey Kluber,9,59,Home Run (Fly Ball)
Top 1,1-0,CHC,Kyle Schwarber,Corey Kluber,3,62,Single to SS (Ground Ball)
Top 1,1-0,CHC,Kris Bryant,Corey Kluber,-3,59,Flyball: RF
Top 1,1-0,CHC,Anthony Rizzo,Corey Kluber,-3,57,Flyball: CF
Top 1,1-0,CHC,Ben Zobrist,Corey Kluber,1,57,Schwarber Steals 2B
Top 1,1-0,CHC,Ben Zobrist,Corey Kluber,-3,54,Flyball: RF
Bottom 1,0-1,CLE,Carlos Santana,Kyle Hendricks,2,57,Lineout: RF
Bottom 1,0-1,CLE,Jason Kipnis,Kyle Hendricks,2,59,Strikeout Swinging
Bottom 1,0-1,CLE,Francisco Lindor,Kyle Hendricks,-1,57,Reached on E4 (throw) (Ground Ball)
Bottom 1,0-1,CLE,Mike Napoli,Kyle Hendricks,2,60,Groundout: SS-2B/Forceout at 2B
Top 2,1-0,CHC,Addison Russell,Corey Kluber,-2,57,Popfly: SS
Top 2,1-0,CHC,Willson Contreras,Corey Kluber,-2,56,Foul Flyball: RF (RF Foul)
Top 2,1-0,CHC,Jason Heyward,Corey Kluber,-1,55,Popfly: SS
Bottom 2,0-1,CLE,Jose Ramirez,Kyle Hendricks,-4,51,Single to P (Line Drive)
Bottom 2,0-1,CLE,Lonnie Chisenhall,Kyle Hendricks,7,57,Ramirez Picked off 1B (P-1B)
Bottom 2,0-1,CLE,Lonnie Chisenhall,Kyle Hendricks,-3,55,Single to LF (Line Drive)
Bottom 2,0-1,CLE,Rajai Davis,Kyle Hendricks,6,60,Ground Ball Double Play: 3B-2B-1B
Top 3,1-0,CHC,Javier Baez,Corey Kluber,-2,58,Flyball: LF
Top 3,1-0,CHC,Dexter Fowler,Corey Kluber,-2,56,Lineout: RF
Top 3,1-0,CHC,Kyle Schwarber,Corey Kluber,-1,55,Single to RF (Line Drive); Schwarber out at 2B/RF-SS
Bottom 3,0-1,CLE,Coco Crisp,Kyle Hendricks,-7,48,Double to LF (Line Drive)
Bottom 3,0-1,CLE,Roberto Perez,Kyle Hendricks,2,50,Bunt Groundout: 1B-2B/Sacrifice; Crisp to 3B
Bottom 3,0-1,CLE,Carlos Santana,Kyle Hendricks,-6,44,Single to RF (Line Drive); Crisp Scores
Bottom 3,1-1,CLE,Jason Kipnis,Kyle Hendricks,-4,40,Fielder's Choice SS; Santana to 2B/Safe on E4 (catch); Kipnis to 1B
Bottom 3,1-1,CLE,Francisco Lindor,Kyle Hendricks,5,45,Flyball: LF
Bottom 3,1-1,CLE,Mike Napoli,Kyle Hendricks,5,50,Lineout: 3B
Top 4,1-1,CHC,Kris Bryant,Corey Kluber,4,54,Single to LF (Ground Ball)
Top 4,1-1,CHC,Anthony Rizzo,Corey Kluber,6,60,Hit By Pitch; Bryant to 2B
Top 4,1-1,CHC,Ben Zobrist,Corey Kluber,-3,57,Groundout: 1B-SS/Forceout at 2B; Bryant to 3B
Top 4,1-1,CHC,Addison Russell,Corey Kluber,2,60,Flyball: CF/Sacrifice Fly; Bryant Scores; Zobrist to 2B/Adv on throw
Top 4,2-1,CHC,Willson Contreras,Corey Kluber,11,70,Double to CF (Fly Ball); Zobrist Scores
Top 4,3-1,CHC,Jason Heyward,Corey Kluber,-3,67,Popfly: SS
Bottom 4,1-3,CLE,Jose Ramirez,Kyle Hendricks,3,70,Groundout: 1B-P
Bottom 4,1-3,CLE,Lonnie Chisenhall,Kyle Hendricks,2,72,Flyball: LF
Bottom 4,1-3,CLE,Rajai Davis,Kyle Hendricks,1,74,Lineout: RF
Top 5,3-1,CHC,Javier Baez,Corey Kluber,8,82,Home Run (Fly Ball to CF-RF)
Top 5,4-1,CHC,Dexter Fowler,Andrew Miller,2,84,Single to LF (Ground Ball)
Top 5,4-1,CHC,Kyle Schwarber,Andrew Miller,-4,80,Ground Ball Double Play: SS-2B-1B
