,Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
1,t1,0-0,0.0,---,"4,(2-1)?CBBX",R,CHC,Dexter?Fowler,Corey?Kluber,9%,59%,Home Run (Fly Ball)
2,t1,1-0,0.0,---,"4,(1-2)?BFCX",,CHC,Kyle?Schwarber,Corey?Kluber,3%,62%,Single to SS (Ground Ball)
3,t1,1-0,0.0,1--,"6,(3-2)?SSB*BBX",O,CHC,Kris?Bryant,Corey?Kluber,-3%,59%,Flyball: RF
4,t1,1-0,1.0,1--,"2,(1-0)?BX",O,CHC,Anthony?Rizzo,Corey?Kluber,-3%,57%,Flyball: CF
5,t1,1-0,2.0,1--,"1,(0-0)?>C",,CHC,Ben?Zobrist,Corey?Kluber,1%,57%,Schwarber Steals 2B
6,t1,1-0,2.0,-2-,"3,(1-1)?>C.*BX",O,CHC,Ben?Zobrist,Corey?Kluber,-3%,54%,Flyball: RF
9,b1,0-1,0.0,---,"1,(0-0)?X",O,CLE,Carlos?Santana,Kyle?Hendricks,2%,57%,Lineout: RF
10,b1,0-1,1.0,---,"4,(1-2)?CFBS",O,CLE,Jason?Kipnis,Kyle?Hendricks,2%,59%,Strikeout Swinging
11,b1,0-1,2.0,---,"2,(0-1)?CX",,CLE,Francisco?Lindor,Kyle?Hendricks,-1%,57%,Reached on E4 (throw) (Ground Ball)
12,b1,0-1,2.0,1--,"2,(0-1)?CX",O,CLE,Mike?Napoli,Kyle?Hendricks,2%,60%,Groundout: SS-2B/Forceout at 2B
15,t2,1-0,0.0,---,"4,(2-1)?FBBX",O,CHC,Addison?Russell,Corey?Kluber,-2%,57%,Popfly: SS
16,t2,1-0,1.0,---,"2,(0-1)?CX",O,CHC,Willson?Contreras,Corey?Kluber,-2%,56%,Foul Flyball: RF (RF Foul)
17,t2,1-0,2.0,---,"1,(0-0)?X",O,CHC,Jason?Heyward,Corey?Kluber,-1%,55%,Popfly: SS
20,b2,0-1,0.0,---,"6,(3-2)?BCBBCX",,CLE,Jose?Ramirez,Kyle?Hendricks,-4%,51%,Single to P (Line Drive)
21,b2,0-1,0.0,1--,"2,(1-1)?BF11",O,CLE,Lonnie?Chisenhall,Kyle?Hendricks,7%,57%,Ramirez Picked off 1B (P-1B)
22,b2,0-1,1.0,---,"3,(1-1)?BF11.X",,CLE,Lonnie?Chisenhall,Kyle?Hendricks,-3%,55%,Single to LF (Line Drive)
23,b2,0-1,1.0,1--,"1,(0-0)?X",OO,CLE,Rajai?Davis,Kyle?Hendricks,6%,60%,Ground Ball Double Play: 3B-2B-1B
26,t3,1-0,0.0,---,"3,(1-1)?FBX",O,CHC,Javier?Baez,Corey?Kluber,-2%,58%,Flyball: LF
27,t3,1-0,1.0,---,"1,(0-0)?X",O,CHC,Dexter?Fowler,Corey?Kluber,-2%,56%,Lineout: RF
28,t3,1-0,2.0,---,"2,(1-0)?BX",O,CHC,Kyle?Schwarber,Corey?Kluber,-1%,55%,Single to RF (Line Drive); Schwarber out at 2B/RF-SS
31,b3,0-1,0.0,---,"3,(1-1)?CBX",,CLE,Coco?Crisp,Kyle?Hendricks,-7%,48%,Double to LF (Line Drive)
